730	1
798	2
798	4
348	5
808	8
691	13
648	17
648	18
648	19
648	20
572	21
572	24
495	26
495	27
495	28
101	30
428	32
571	33
571	34
313	35
313	36
478	37
478	38
237	41
237	42
15	43
874	44
874	45
628	46
628	47
721	49
250	52
753	53
753	54
151	55
151	56
773	58
697	61
879	63
866	65
371	66
119	69
502	70
828	71
828	72
828	73
828	75
828	76
220	77
880	78
880	79
528	80
528	81
661	83
661	84
661	85
578	86
578	87
578	88
578	89
851	90
619	92
619	93
619	94
71	95
493	98
432	99
432	100
331	101
331	102
331	103
351	104
845	106
845	107
845	108
455	110
90	111
90	112
780	113
223	114
103	115
103	116
710	117
43	119
226	120
80	122
854	124
89	125
191	126
140	127
140	128
140	129
527	133
527	134
698	137
698	138
272	139
456	140
456	141
328	142
749	143
749	145
488	147
534	149
501	151
707	152
330	153
330	154
650	155
650	156
320	159
320	161
197	163
452	166
625	167
195	168
494	169
702	170
217	171
560	172
460	174
516	176
550	179
235	180
235	182
159	184
616	186
682	188
682	189
682	190
322	192
322	193
322	194
442	195
442	196
442	197
60	198
73	199
73	200
73	201
352	204
663	205
663	206
97	208
157	209
484	210
712	212
712	213
10	214
415	216
469	218
469	219
153	220
153	221
831	223
831	224
831	225
831	226
115	229
772	230
774	232
774	233
774	234
668	235
668	236
671	237
671	238
671	239
108	240
161	242
161	243
381	245
381	246
167	248
167	249
584	250
584	251
446	256
552	257
552	258
552	259
602	260
602	261
350	263
532	264
450	268
301	269
301	270
49	271
844	272
844	273
27	274
626	275
626	276
22	277
713	278
713	279
193	280
284	281
468	282
727	283
727	284
290	285
290	286
198	288
726	290
726	291
726	292
726	293
794	294
794	295
177	296
177	297
416	298
416	299
548	301
253	302
382	305
748	307
748	308
423	309
884	311
762	312
600	313
600	314
465	315
53	318
437	319
437	320
848	325
848	326
848	327
503	328
867	329
867	330
170	332
627	334
627	335
530	336
664	337
425	338
114	339
145	341
327	342
57	344
57	345
436	346
155	347
155	348
121	349
857	350
865	352
164	353
164	354
656	355
656	356
479	357
472	361
162	363
162	364
62	365
62	366
686	369
384	370
384	371
629	373
629	374
63	375
63	376
743	377
743	378
369	380
369	382
839	384
839	385
839	386
158	387
747	388
747	389
747	390
19	391
264	392
509	393
635	394
635	395
137	397
137	398
319	399
520	402
740	403
740	404
11	406
690	407
778	408
778	411
636	413
636	414
14	415
819	416
819	417
252	418
180	419
180	420
168	421
216	423
768	424
768	425
768	426
435	427
878	428
1	430
139	433
147	434
708	436
521	437
521	438
805	440
805	441
732	442
732	443
618	444
618	445
750	448
372	450
372	451
372	452
129	454
129	455
52	456
850	457
850	458
72	459
373	460
373	461
256	462
606	466
606	467
606	468
606	470
419	472
419	473
419	474
475	475
475	476
757	478
715	480
563	482
563	483
36	484
876	485
210	486
37	487
601	490
201	491
645	492
645	494
676	496
324	499
324	500
347	501
347	502
613	503
149	504
149	505
840	506
173	507
56	509
852	512
852	513
852	514
852	515
580	516
